Title,Transaction Date,Acquired_Disposed,Amount,Price
"Common Stock, par value $.01  per share",,D,1039,200.9242
"Common Stock, par value $.01  per share",,D,420,200.9242
"Common Stock, par value $.01  per share",,D,142,202.40
"Common Stock, par value $.01  per share",,D,58,202.40
"Common Stock, par value $.01  per share",,D,184,196.3064
"Common Stock, par value $.01  per share",,D,1181,197.528
"Common Stock, par value $.01  per share",,D,2389,198.5981
"Common Stock, par value $.01  per share",,D,3759,200.2409
"Common Stock, par value $.01  per share",,D,6471,200.9776
"Common Stock, par value $.01  per share",,D,972,201.7213
"Common Stock, par value $.01  per share",,D,304,202.8684
"Common Stock, par value $.01  per share",,D,1339193,0
"Common Stock, par value $.01  per share",,D,70806,0
"Common Stock, par value $.01  per share",,A,2605,0
"Common Stock, par value $.01  per share",,A,13753,0
"Common Stock, par value $.01  per share",,D,2302,204.9946
"Common Stock, par value $.01  per share",,D,1200,205.7475
"Common Stock, par value $.01  per share",,D,2000,206.78
"Common Stock, par value $.01  per share",,D,4950,0
"Common Stock, par value $.01  per share",,A,2473,0
"Common Stock, par value $.01  per share",,A,2473,0
"Common Stock, par value $.01  per share",,A,2473,0
"Common Stock, par value $.01  per share",,D,1237,199.06
"Common Stock, par value $.01  per share",,A,2605,0
"Common Stock, par value $.01  per share",,A,1900,0
"Common Stock, par value $.01  per share",,D,1028919,206.4982
"Common Stock, par value $.01  per share",,D,669071,207.5692
"Common Stock, par value $.01  per share",,D,1145189,208.5785
"Common Stock, par value $.01  per share",,D,153183,209.2077
"Common Stock, par value $.01  per share",,D,68195,210.0126
"Common Stock, par value $.01  per share",,D,143606,210.9248
"Common Stock, par value $.01  per share",,D,53019,212.0361
"Common Stock, par value $.01  per share",,D,39538,212.7137
"Common Stock, par value $.01  per share",,D,4766,209.85
"Common Stock, par value $.01  per share",,D,779417,208.1768
"Common Stock, par value $.01  per share",,D,1966340,209.0134
"Common Stock, par value $.01  per share",,D,250605,209.6346
"Common Stock, par value $.01  per share",,D,1613353,206.2804
"Common Stock, par value $.01  per share",,D,1010275,206.8678
"Common Stock, par value $.01  per share",,D,241951,208.1669
"Common Stock, par value $.01  per share",,D,129103,208.9932
"Common Stock, par value $.01  per share",,D,1680,209.65
"Common Stock, par value $.01  per share",,D,1759942,200.3935
"Common Stock, par value $.01  per share",,D,618801,201.3303
"Common Stock, par value $.01  per share",,D,474608,202.35
"Common Stock, par value $.01  per share",,D,143011,203.2023
"Common Stock, par value $.01  per share",,D,214327,207.6637
"Common Stock, par value $.01  per share",,D,139475,208.7575
"Common Stock, par value $.01  per share",,D,1807570,209.8438
"Common Stock, par value $.01  per share",,D,661403,210.7096
"Common Stock, par value $.01  per share",,D,173587,211.5625
"Common Stock, par value $.01  per share",,D,900,196.37
"Common Stock, par value $.01  per share",,D,5004,199.85
"Common Stock, par value $.01  per share",,D,3500,198.96
"Common Stock, par value $.01  per share",,D,1068452,200.0657
"Common Stock, par value $.01  per share",,D,3500,184.80
"Common Stock, par value $.01  per share",,D,2190,195
"Common Stock, par value $.01  per share",,D,3500,177.87
"Common Stock, par value $.01  per share",,D,293646,0
"Common Stock, par value $.01  per share",,D,261739,0
"Common Stock, par value $.01  per share",,A,20000,0
"Common Stock, par value $.01  per share",,A,31960,0
"Common Stock, par value $.01  per share",,D,4148,179.5742
"Common Stock, par value $.01  per share",,D,6223,180.3837
"Common Stock, par value $.01  per share",,D,9523,181.4165
"Common Stock, par value $.01  per share",,D,890,182.1103
"Common Stock, par value $.01  per share",,A,12660,0
"Common Stock, par value $.01  per share",,A,2600,0
